stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Berlin Gesundbrunnen,582378,252586,52.548386,13.390704,,10
Berlin Gesundbrunnen,582378,367651,52.548573,13.390519,,8
Berlin Gesundbrunnen,582378,428662,52.548794,13.3904,,6
Berlin Gesundbrunnen,582378,640205,52.548885,13.39039,,5
Berlin Gesundbrunnen,582378,6823,52.548485,13.390691,,9
Berlin Hbf,302272,122966,52.525223,13.369887,,8
Berlin Hbf,302272,177159,52.52496,13.368911,,1
Berlin Hbf,302272,211040,52.524998,13.369061,,2
Berlin Hbf,302272,304732,52.52511,13.369472,,5
Berlin Hbf,302272,339332,52.52519,13.369752,,7
Berlin Hbf,302272,369088,52.525143,13.369612,,6
Berlin Hbf,302272,3743,52.52506,13.369167,,3
Berlin Hbf,302272,418166,52.525097,13.369321,,4
Berlin Hbf,302272,428044,52.52507,13.369501,,14
Berlin Hbf,302272,4782,52.524967,13.369527,,13
Berlin Hbf,302272,646155,52.52488,13.369627,,12
Berlin Hbf,302272,650659,52.524788,13.369667,,11
Berlin Ostbahnhof,74296,199410,52.510254,13.435024,,3
Berlin Ostbahnhof,74296,315368,52.510242,13.434586,,1
Berlin Ostbahnhof,74296,516117,52.510475,13.43524,,7
Berlin Ostbahnhof,74296,637227,52.510178,13.434942,,2
Berlin Ostbahnhof,74296,641270,52.510414,13.435172,,6
Berlin Ostkreuz,426742,208891,52.502907,13.468553,,1
Berlin Ostkreuz,426742,326760,52.50304,13.468615,,2
Berlin Ostkreuz,426742,528227,52.503128,13.469622,,13
Berlin Ostkreuz,426742,668413,52.503067,13.469961,,14
Berlin Südkreuz,542111,122711,52.47565,13.365612,,6
Berlin Südkreuz,542111,131784,52.475433,13.365603,,7
Berlin Südkreuz,542111,304135,52.475407,13.365754,,8
Berlin Südkreuz,542111,31641,52.475925,13.365291,,3
Berlin Südkreuz,542111,382553,52.475685,13.365454,,5
Berlin Südkreuz,542111,436425,52.475887,13.365455,,4
Berlin Zoologischer Garten,535655,134358,52.50762,13.332927,,1
Berlin Zoologischer Garten,535655,346742,52.507652,13.332804,,2
Berlin Zoologischer Garten,535655,457747,52.50768,13.332686,,3
Berlin Zoologischer Garten,535655,657206,52.507717,13.332555,,4
Berlin-Charlottenburg,399028,303038,52.504173,13.301819,,3
Berlin-Lichtenberg,380655,119137,52.510002,13.49649,,17
Berlin-Schöneweide,594319,387397,52.45462,13.509517,,1
Berlin-Schöneweide,594319,72298,52.45469,13.509638,,2
Berlin-Spandau,626679,246486,52.534668,13.197191,,3
Berlin-Spandau,626679,474324,52.534542,13.197124,,5
Berlin-Spandau,626679,495857,52.534485,13.1971,,6
Berlin-Spandau,626679,56804,52.5346,13.197163,,4
Berlin-Wannsee,510430,154674,52.421402,13.180358,,5
Berlin-Wannsee,510430,355174,52.42135,13.180446,,6
Bern,,188063,46.948833,7.439131,1,
Bern,188063,229481,46.948833,7.439131,,
Bernau(b Berlin),359078,287247,52.67533,13.592016,,5
Bielefeld Hbf,,347953,52.029263,8.53272,1,
Bielefeld Hbf,347953,430886,52.029263,8.532722,,
Bingen(Rhein) Hbf,391235,464658,49.968727,7.884263,,
"Bingen, Hauptbahnhof",,391235,49.96874,7.883543,1,
Bischofshofen,,296180,47.41786,13.219888,1,
Bischofshofen,296180,167893,47.41786,13.219888,,
Bitterfeld,,589636,51.62286,12.31685,1,
Bitterfeld,589636,508808,51.62286,12.31685,,
Bludenz,,174192,47.154724,9.814564,1,
Bludenz,174192,547390,47.154724,9.814564,,
Bochnia,,286326,49.9773,20.430775,1,
Bochnia,286326,102371,49.9773,20.430775,,
Bochum Hbf,,518194,51.479465,7.223335,1,
Bochum Hbf,518194,98818,51.478607,7.223275,,
Bohumin,,348397,49.90073,18.359444,1,
Bohumin,348397,624635,49.90073,18.359444,,
Bohumin(Gr),,625517,49.916576,18.322226,1,
Bohumin(Gr),625517,119162,49.916576,18.322226,,
Bohusovice nad Ohri,,658625,50.491306,14.149456,1,
Bohusovice nad Ohri,658625,302464,50.491306,14.149456,,
Boleslawiec,,85503,51.266155,15.568923,1,
Boleslawiec,85503,252467,51.266155,15.568923,,
Bolzano/Bozen,,13985,46.496376,11.358791,1,
Bolzano/Bozen,13985,257221,46.496376,11.358791,,
Bondorf,,585477,48.52327,8.827879,1,
Bondorf(b Herrenberg),585477,231860,48.523552,8.827662,,
