route_id,service_id,trip_id
1,123,1002853
1,13,1091314
1,13,556954
1,134,1514608
1,153,1323365
1,153,192221
1,153,98335
1,173,1412207
1,173,1511731
1,173,303228
1,173,501529
1,173,718642
1,173,827480
1,183,930529
1,208,123750
1,208,193637
1,210,1138533
1,228,1282271
1,228,788902
1,236,144814
1,241,1089439
1,241,1249408
1,241,600046
1,241,823401
1,243,1296670
1,243,1395942
1,243,289481
1,258,712089
1,266,93896
1,266,982102
1,303,711216
1,307,1041192
1,307,1420958
1,310,140815
1,310,32556
1,310,709811
1,317,909649
1,327,188669
1,327,30267
1,327,812410
1,327,876660
1,327,949368
1,332,1172746
1,352,789938
1,358,193416
1,358,345750
1,358,37506
1,358,379632
1,382,1202478
1,386,865976
1,388,325981
1,401,841362
1,414,1467196
1,414,47793
1,416,1127451
1,416,1203869
1,416,510766
1,420,1287575
1,427,1112001
1,427,1382902
1,458,1071686
1,458,114234
1,458,1427741
1,458,1485905
1,458,17973
1,458,180366
1,458,217922
1,458,308081
1,458,346331
1,458,346643
1,458,45652
1,458,508286
1,458,565885
1,458,614868
1,458,759227
1,458,865370
1,458,876838
1,458,995781
1,461,1097419
1,461,340717
1,473,140764
1,473,995639
1,474,1105754
1,474,1513402
1,474,228891
1,474,47651
1,480,1436928
1,486,815039
1,522,724352
1,527,654842
1,527,912566
1,529,1175402
1,529,19807
1,529,198526
1,532,1000994
1,532,102259
1,54,853447
1,570,1126288
1,570,196550
1,570,273506
1,570,382915
1,570,554628
1,605,528502
1,61,51420
1,62,163669
1,643,1104189
1,643,1152618
1,643,1219124
1,643,1253434
1,643,1270764
1,643,1276747
1,643,1298777
1,643,1365473
1,643,1450445
1,643,1458918
1,643,1488051
1,643,1510966
1,643,306066
1,643,421298
1,643,422410
1,643,47512
1,643,613226
1,643,711066
1,643,87490
1,657,1251232
1,658,1110732
1,670,324297
1,678,1420623
1,682,1431176
1,70,1422538
1,745,1325601
1,745,1354140
1,745,355080
1,745,994238
1,751,1378838
1,751,288928
1,766,1375601
1,766,696005
1,777,1432093
1,777,599283
1,78,667376
1,80,1312661
1,80,994641
1,807,302471
1,807,677579
1,807,837323
1,816,1420300
1,832,707199
1,848,463950
1,853,1119673
1,855,397873
1,867,382956
1,873,826521
1,877,539834
1,899,103738
1,899,1166994
1,899,651890
1,899,92488
1,902,951641
1,914,381495
1,914,710892
1,914,749168
1,919,13558
1,920,391708
1,942,828557
1,965,7426
10,1016,998668
10,119,853624
10,12,1053474
10,12,1228101
10,12,1303313
10,12,168351
10,12,660850
10,123,70322
10,126,324029
10,126,857547
10,126,970213
10,150,1032860
10,152,1417422
10,152,832251
10,175,638304
10,203,238760
10,203,841186
10,208,4497
10,223,1333404
10,224,1403643
10,225,371086
10,241,107257
10,241,189652
10,241,415123
10,243,573173
10,243,750004
10,258,1268766
10,258,491862
10,326,127020
10,337,1131148
10,337,823123
10,352,315297
10,352,585904
10,352,960503
10,358,1385239
10,371,1388528
10,385,855328
10,402,739069
10,404,1486107
10,459,1189167
10,459,1212994
10,480,1214715
10,505,1252254
10,505,1304818
10,505,1475886
10,505,549308
10,512,1206561
10,512,386896
10,518,140527
10,532,1341229
10,532,167780
10,532,352374
10,532,984441
10,560,1463671
10,560,885643
10,569,45079
10,578,1398882
10,629,1190242
10,643,1243038
10,660,297337
10,660,552009
10,678,1470426
10,678,461247
10,678,497331
10,688,122426
10,688,463242
10,688,663436
10,688,978051
10,690,1393340
10,690,893960
10,699,959327
10,751,617776
10,751,675499
10,760,813226
10,781,810298
10,783,1368060
10,850,1217592
10,850,1432447
10,850,787094
10,866,239363
10,871,288974
10,9,260111
10,913,506600
10,957,1390815
10,957,718021
10,989,1412004
10,989,205289
11,1012,130865
11,1016,702545
11,113,763751
11,153,314094
11,153,509816
11,240,1430039
11,313,779898
11,313,862616
11,320,471911
11,320,993498
11,334,351419
11,356,461142
11,358,61338
11,378,1232641
11,381,1417478
11,386,482974
11,386,678329
11,386,795436
11,440,1479792
11,457,487533
11,457,599379
11,466,211001
11,529,1364359
11,529,1439104
11,529,313944
11,529,441314
11,529,528723
11,529,533857
11,529,552661
11,529,637147
11,529,721212
11,529,930036
11,529,959051
11,537,1067952
11,589,1515851
11,589,368044
11,602,1457409
11,638,389149
11,668,409463
11,74,1465060
11,74,565731
11,740,509462
11,763,975737
11,769,1357836
11,769,2141
11,774,700232
11,777,1192512
11,777,350151
11,797,1262369
11,845,442942
11,899,1472280
11,899,921517
11,914,587031
11,923,371068
11,939,487330
11,95,1357878
11,989,1383674
11,989,753329
11,991,50579
11,997,55602
12,1005,1359803
12,1018,775938
12,148,491105
12,319,180793
12,34,443564
12,34,676966
12,35,1332354
12,400,1133205
12,400,1447625
12,448,993355
12,529,1106407
12,529,130130
12,529,143172
12,529,509061
12,529,509883
12,581,137177
12,581,351442
12,597,689428
12,643,918769
12,751,921947
12,92,1038869
12,92,1450651
12,989,717277
13,121,391253
13,121,467464
13,20,1093637
13,20,122457
13,20,1275876
13,20,1342182
13,20,1346109
13,20,1388650
13,20,1412271
13,20,1489860
13,20,164942
13,20,186315
13,20,334131
13,20,335956
13,20,542373
13,20,612647
13,250,1254773
13,332,1236025
13,332,405740
13,411,1007552
13,411,1018003
13,411,1236473
13,411,1434187
13,411,149140
13,411,347936
13,411,376689
13,411,476679
13,411,602973
13,411,622259
13,411,946775
13,411,968032
13,508,585960
13,632,339620
13,674,1250141
13,716,1356102
13,801,1146849
13,988,468796
13,988,90222
14,20,1359540
14,20,1469662
14,20,212178
14,20,467800
14,432,343149
14,432,344265
14,432,364433
14,432,604632
15,1014,1023457
15,128,1099904
15,128,285363
15,128,738808
15,149,1343331
15,231,1079211
15,369,571410
15,371,1166257
15,371,396659
15,371,552567
15,413,762411
15,424,1389817
15,455,1483861
15,5,268696
15,515,389886
15,529,962390
15,562,739795
15,64,362987
15,644,760145
15,68,666914
15,690,66886
15,730,1176752
15,752,1235465
15,752,1321038
15,752,27833
15,793,1354357
15,796,444470
15,822,1146961
15,823,148077
15,852,333672
15,858,1493715
15,878,1425230
15,90,1082461
15,908,1072163
15,952,1304028
15,967,1306525
15,994,1422199
15,999,1192031
16,153,1116941
16,153,1267948
16,183,183787
16,183,214033
16,458,613878
16,458,632639
16,56,431666
16,56,663063
16,592,515854
16,592,706250
16,595,227266
16,595,672360
16,643,430728
16,643,960798
16,895,344834
16,895,651165
17,1003,163655
17,105,1147439
17,113,1323056
17,113,441685
17,12,1359576
17,12,571136
17,139,126258
17,139,1503217
17,139,374422
17,139,453800
